english,sinhala,tamil,combined_label,encoded_label
Bad,නරක,கேடு,Bad|නරක|கேடு,14
Smile,සිනාව,புன்னகை,Smile|සිනාව|புன்னகை,290
Stop,නවතන්න,நிறுத்து,Stop|නවතන්න|நிறுத்து,296
Study,අධ්‍යයනය,படிப்பு,Study|අධ්‍යයනය|படிப்பு,300
Sweep,අතුගා දැමීම,ஸ்வீப்,Sweep|අතුගා දැමීම|ஸ்வீப்,304
Swim,පිහිනන්න,நீந்து,Swim|පිහිනන්න|நீந்து,305
Take,ගන්න,எடு,Take|ගන්න|எடு,307
Talk,කතා කරන්න,பேசு,Talk|කතා කරන්න|பேசு,308
Teach,ඉගැන්වීම,கற்பிக்க,Teach|ඉගැන්වීම|கற்பிக்க,309
Tear,ඉරීම,கண்ணீர்,Tear|ඉරීම|கண்ணீர்,311
Tell,කියන්න,சொல்,Tell|කියන්න|சொல்,315
Text,පණිවුඩය,செய்தி,Text|පණිවුඩය|செய்தி,318
Think,හිතන්න,யோசி,Think|හිතන්න|யோசி,323
Throw,විසි කරන්න,எறி,Throw|විසි කරන්න|எறி,327
Trust,විශ්වාස කරන්න,நம்பிக்கை,Trust|විශ්වාස කරන්න|நம்பிக்கை,338
Understand,තේරුම් ගන්න,புரிந்து கொள்,Understand|තේරුම් ගන්න|புரிந்து கொள்,345
Use,භාවිත කරන්න,பயன் படுத்து,Use|භාවිත කරන්න|பயன் படுத்து,348
Visit,පිවිසෙන්න,வருகை,Visit|පිවිසෙන්න|வருகை,352
Walk,ඇවිදින්න,நடக்கவும்,Walk|ඇවිදින්න|நடக்கவும்,353
Want,අවශ්‍යයි,விரும்பு,Want|අවශ්‍යයි|விரும்பு,354
Wash,සෝදන්න,கழுவு,Wash|සෝදන්න|கழுவு,355
Watch,බලන්න,பார்,Watch|බලන්න|பார்,356
Work,වැඩ කරන්න,வேலை செய்,Work|වැඩ කරන්න|வேலை செய்,370
Write,ලියන්න,எழுத,Write|ලියන්න|எழுத,371
